week,weekly_usage,weekly_tabs,wau_count,requestsper
2025-09-08 00:00:00,101917,40439,807,126.2912019826518
2025-09-01 00:00:00,152808,72189,874,174.837528604119
2025-08-25 00:00:00,155664,85597,856,181.85046728971963
2025-08-18 00:00:00,174138,82057,884,196.98868778280544
2025-08-11 00:00:00,175192,86781,887,197.51071025930102
2025-08-04 00:00:00,170007,73882,829,205.0747889022919
2025-07-28 00:00:00,177955,85793,857,207.6487747957993
2025-07-21 00:00:00,130499,81081,850,153.52823529411765
2025-07-14 00:00:00,155835,75842,828,188.20652173913044
2025-07-07 00:00:00,145047,81317,826,175.60169491525423
2025-06-30 00:00:00,126452,74451,790,160.06582278481014
2025-06-23 00:00:00,153354,83276,825,185.88363636363636
2025-06-16 00:00:00,120223,74652,785,153.15031847133758
2025-06-09 00:00:00,150301,94097,826,181.96246973365618
2025-06-02 00:00:00,140204,116525,835,167.90898203592815
2025-05-26 00:00:00,121751,79035,793,153.53215636822193
2025-05-19 00:00:00,123137,81751,810,152.02098765432098
2025-05-12 00:00:00,101238,89519,807,125.44981412639405
2025-05-05 00:00:00,94008,105315,814,115.48894348894349
2025-04-28 00:00:00,88711,98724,802,110.61221945137157
2025-04-21 00:00:00,95984,95850,779,123.21437740693196
2025-04-14 00:00:00,85974,97347,788,109.10406091370558
2025-04-07 00:00:00,95604,105683,798,119.80451127819549
2025-03-31 00:00:00,85621,99979,783,109.34993614303959
2025-03-24 00:00:00,87495,107297,789,110.89353612167301
2025-03-17 00:00:00,77415,111181,751,103.08255659121171
2025-03-10 00:00:00,75887,107185,753,100.77954847277556
2025-03-03 00:00:00,75357,65872,744,101.28629032258064
2025-02-24 00:00:00,75187,0,723,103.99308437067774
2025-02-17 00:00:00,47998,0,617,77.79254457050243
2025-02-10 00:00:00,45685,0,596,76.65268456375838
2025-02-03 00:00:00,41008,0,537,76.36499068901304
2025-01-27 00:00:00,45638,0,529,86.27221172022685
2025-01-20 00:00:00,33423,0,491,68.07128309572302
2025-01-13 00:00:00,26063,0,428,60.89485981308411
2025-01-06 00:00:00,26569,0,436,60.93807339449541
2024-12-30 00:00:00,13569,0,240,56.5375
2024-12-23 00:00:00,8225,0,142,57.92253521126761
2024-12-16 00:00:00,24385,0,451,54.068736141906875
2024-12-09 00:00:00,25723,0,373,68.96246648793566
2024-12-02 00:00:00,27414,0,373,73.49597855227881
2024-11-25 00:00:00,19877,0,339,58.634218289085545
2024-11-18 00:00:00,23135,0,356,64.98595505617978
2024-11-11 00:00:00,19298,0,306,63.06535947712418
2024-11-04 00:00:00,16530,0,269,61.44981412639405
2024-10-28 00:00:00,11441,0,219,52.242009132420094
2024-10-21 00:00:00,6370,0,134,47.53731343283582
2024-10-14 00:00:00,5613,0,136,41.27205882352941
2024-10-07 00:00:00,6210,0,124,50.08064516129032
2024-09-30 00:00:00,4334,0,100,43.34
2024-09-23 00:00:00,4689,0,86,54.52325581395349
2024-09-16 00:00:00,3351,0,71,47.19718309859155
